eb,frame,rc,bytes
10.0,exafel_f115,0,1386813
10.0,exafel_f116,0,1478437
10.0,exafel_f117,0,1398547
10.0,exafel_f118,0,1503847
10.0,exafel_f119,0,1422329
10.0,exafel_f120,0,1502613
10.0,exafel_f121,0,1548746
10.0,exafel_f122,0,1418624
10.0,exafel_f123,0,1138130
10.0,exafel_f124,0,1514031
10.0,exafel_f125,0,1302852
10.0,exafel_f126,0,1510512
10.0,exafel_f127,0,1443453
10.0,exafel_f128,0,1468697
10.0,exafel_f129,0,1483036
DONE
