arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,999.9968872070312,34.01015990273674,1,93.069693,79424,115.6809024979855,EXAFEL,90.88952,1000.0,10.0,exafel_f014,999.9968872070312,34.03130511211016,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
roibin_b2,n/a,6297.1083984375,33.95440352795971,2,113.75595,28128,326.64391353811146,EXAFEL,108.46997,1000.0,10.0,exafel_f014,6297.1083984375,33.97554882445878,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
cuszhi,1,10.000015258789062,68.92564367428912,1,26.146125465454954,1431092,6.420160269220987,EXAFEL,27.74374335684607,1000.0,10.0,exafel_f014,10.000015258789062,68.92556031862148,4,138,1,0.4858595709111173,9.999954223632812,11160,68.908520979172,ok,spline/cr-first/cr,16127.595703125
pfpl,1,10.0,68.96352154022799,1,176.63488157490002,1635882,5.616444217859234,EXAFEL,142.2794846382557,1000.0,10.0,exafel_f014,10.0,68.96335828872996,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
cuszp3,1,10.0,68.96352154022799,1,136.26958,1671136,5.497960668670892,EXAFEL,134.92482,1000.0,10.0,exafel_f014,10.0,68.96335828872996,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
roibin_b1,1,999.9656982421875,35.27227918772458,1,92.949174,56688,162.0773355913068,EXAFEL,90.204209,1000.0,10.0,exafel_f015,999.9656982421875,35.28392907906753,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
roibin_b2,n/a,7264.4775390625,35.227499540345626,2,115.54124,20272,453.2280978689818,EXAFEL,103.4294,1000.0,10.0,exafel_f015,7264.4775390625,35.23914948404642,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
cuszhi,1,10.0,68.83759775815716,1,26.54796733167767,1397985,6.572202133785413,EXAFEL,28.55636779551444,1000.0,10.0,exafel_f015,10.0,68.83737683729699,4,76,1,0.268006408470326,9.999603271484375,6156,68.75593704668428,ok,spline/cr-first/cr,15968.935546875
pfpl,1,10.0,68.90269454708091,1,175.98528961078762,1598211,5.748827908204862,EXAFEL,163.13636363636363,1000.0,10.0,exafel_f015,10.0,68.90259037994399,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
cuszp3,1,10.0,68.90269454708091,1,137.24665,1638208,5.608469742547955,EXAFEL,133.73078,1000.0,10.0,exafel_f015,10.0,68.90259037994399,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
